award_id,season,player_id
ALROY,2023,683002
ALROY,2022,677594
ALROY,2021,668227
ALROY,2020,641786
ALROY,2019,670541
ALROY,2018,660271
ALROY,2017,592450
ALROY,2016,605242
ALROY,2015,621043
ALROY,2014,547989
ALROY,2013,571976
ALROY,2012,545361
ALROY,2011,476451
ALROY,2010,491703
ALROY,2009,457732
ALROY,2008,446334
ALROY,2007,456030
ALROY,2006,434378
ALROY,2005,434718
ALROY,2004,425853
ALROY,2003,407556
ALROY,2002,400134
ALROY,2001,400085
ALROY,2000,277408
ALROY,1999,136860
ALROY,1998,115132
ALROY,1997,114596
ALROY,1996,116539
ALROY,1995,112682
ALROY,1994,115376
ALROY,1993,121640
ALROY,1992,117815
ALROY,1991,117197
ALROY,1990,110184
ALROY,1989,120002
ALROY,1988,124054
ALROY,1987,118743
ALROY,1986,111962
ALROY,1985,115230
ALROY,1984,113096
ALROY,1983,117132
ALROY,1982,121222
ALROY,1981,121201
ALROY,1980,112210
ALROY,1979,115137
ALROY,1979,112120
ALROY,1978,124154
ALROY,1977,119579
ALROY,1976,114102
ALROY,1975,118040
ALROY,1974,115474
ALROY,1973,111687
ALROY,1972,114182
ALROY,1971,112180
ALROY,1970,119531
ALROY,1969,120586
ALROY,1968,110434
ALROY,1967,111986
ALROY,1966,110084
ALROY,1965,111096
ALROY,1964,119980
ALROY,1963,120455
ALROY,1962,123461
ALROY,1961,121906
ALROY,1960,115440
ALROY,1959,110176
ALROY,1958,120336
ALROY,1957,117343
ALROY,1956,110290
ALROY,1955,121923
ALROY,1954,115160
ALROY,1953,117354
ALROY,1952,111835
ALROY,1951,118655
ALROY,1950,113575
ALROY,1949,122221
NLROY,2023,682998
NLROY,2022,671739
NLROY,2021,663697
NLROY,2020,642207
NLROY,2019,624413
NLROY,2018,660670
NLROY,2017,641355
NLROY,2016,608369
NLROY,2015,592178
NLROY,2014,594798
NLROY,2013,605228
NLROY,2012,547180
NLROY,2011,518886
NLROY,2010,457763
NLROY,2009,458085
NLROY,2008,434567
NLROY,2007,460075
NLROY,2006,434670
NLROY,2005,429667
NLROY,2004,424726
NLROY,2003,425883
NLROY,2002,407298
NLROY,2001,405395
NLROY,2000,279577
NLROY,1999,150182
NLROY,1998,134268
NLROY,1997,121409
NLROY,1996,116075
NLROY,1995,119827
NLROY,1994,119247
NLROY,1993,120536
NLROY,1992,116852
NLROY,1991,110432
NLROY,1990,116798
NLROY,1989,123901
NLROY,1988,121606
NLROY,1987,121693
NLROY,1986,124581
NLROY,1985,112487
NLROY,1984,114947
NLROY,1983,122864
NLROY,1982,121732
NLROY,1981,123619
NLROY,1980,116222
NLROY,1979,122996
NLROY,1978,116154
NLROY,1977,113151
NLROY,1976,119000
NLROY,1976,124732
NLROY,1975,119261
NLROY,1974,118521
NLROY,1973,118433
NLROY,1972,118428
NLROY,1971,124304
NLROY,1970,119423
NLROY,1969,122287
NLROY,1968,110849
NLROY,1967,121961
NLROY,1966,115731
NLROY,1965,117624
NLROY,1964,110157
NLROY,1963,121454
NLROY,1962,116251
NLROY,1961,124290
NLROY,1960,116205
NLROY,1959,118605
NLROY,1958,112157
NLROY,1957,121684
NLROY,1956,121311
NLROY,1955,123734
NLROY,1954,119279
NLROY,1953,114810
NLROY,1952,111037
NLROY,1951,118495
NLROY,1950,116542
NLROY,1949,119733
